date	commit	state	size_cells	delta_cells	change_kind	reason	evidence
2026-05-29T17:14:23+03:00	4d1070c37da678221a454c12f62339c917e9572b	committed	232	13	regression	Изменили post-layout indirect-flow; часть программ выросла, значит новый выбор раскладки оказался хуже для 4x4	post-layout-indirect-flow diff; pending README 219->232
2026-05-30T15:16:45+07:00	3c855636b0d6c3896432d07ea14e9ca7eb1938ef	committed	260	28	regression	Оптимизация residual dispatch была локальной для других игр и ухудшила общий compiler plan 4x4	compiler diff; pending README 232->260 while mixed peer results
2026-05-30T23:42:49+07:00	2909fe6adf4c0a196436ebdf83fa93641ebf1f8d	committed	264	4	correctness_fix	Исправили целочисленный random lowering; более корректная генерация добавила 4 клетки	commit title and expr lowering diff; pending README 260->264
2026-05-31T18:25:10+07:00	f475dd2b67d2559067773d33d883cbdc8378b801	committed	251	-13	optimization	Уточнили optimizer и function/runtime lowering	commit title and compiler/runtime diff; pending README 264->251
2026-05-31T19:37:11+07:00	8873e98851016090d48b6b0e9ef2adbdbd1e28c4	committed	105	-146	invalid_shortcut	Подменили честную игру специальным line4_random_reply kernel; формально влезло, но это был cheat	line4 special lowering and source rewrite; pending README 251->105
2026-05-31T20:22:05+07:00	1c6219ec9a49fc15c30d22d9b0c447b03dd121bb	committed	251	146	correctness_fix	Удалили line4 cheat и восстановили честный high-level source	commit title and removal of lowering/line4.ts; pending README 105->251
2026-05-31T23:22:33+07:00	f87d3bc8d50fec66b62658cea69c46275e37da80	committed	219	-32	optimization	Зафиксирован суммарный выигрыш серии compiler changes: корректный x-- и shared spatial line-progression helper	commits 4280bba and d5262c1 in range; refreshed README 251->219
2026-06-01T01:26:22+07:00	15fbc916d3838c81012422cf4ae759c13034d3c0	committed	213	-6	optimization	Не стали использовать дорогие по setup constant preloads	commit title and compiler diff; pending README 219->213
2026-06-01T14:13:19+07:00	7f257d501d537b6787cbcd5a5a57f799c5af8bd0	committed	200	-13	optimization	Уменьшили сам high-level source tic-tac-toe	commit title and source diff; pending README 213->200
2026-06-02T12:13:20+07:00	26b17e454797342246caff32a4b0b3ad3fb0a773	committed	281	81	semantic_rewrite	Вернули source-shaped packed scan/update; прежние 200 клеток не моделировали исходную форму достаточно полно	168-line source rewrite and display audit; pending README 200->281
2026-06-02T12:59:22+07:00	226064bff2c898a62c2c23e30b05c4eb70ac7d4a	committed	273	-8	optimization	Сохранили и переиспользовали инициализаторы counted loops	commit title and diff; pending README 281->273
2026-06-02T13:55:53+07:00	336e4a25df419e6e007f79224f07daea54f00542	committed	272	-1	optimization	Побочный общий выигрыш от optimizer changes для labyrinth777	commit diff; pending README 273->272
2026-06-02T15:23:03+07:00	89340f9e3e76dbd528cc86926a8a3e744d52f916	committed	269	-3	optimization	Flattened games catalog и связанное упрощение lowering/source shape	commit title and diff; pending README 272->269
2026-06-02T20:30:59+07:00	113b60d6ed69075c8f976030f24aa1941ddee8e7	committed	267	-2	optimization	Добавили shared-tail и повторное использование X в flow	commit title and diff; pending README 269->267
2026-06-03T09:52:15+07:00	0438128826b45cd5b665b1677ad14896fbb60bcf	committed	249	-18	optimization	Побочный суммарный выигрыш compiler/lowering при работе над cave-treasure	commit diff; pending README 267->249
2026-06-03T22:39:05+07:00	b27101a734f7ff3548444e6210b8f1d0aae8eea9	committed	254	5	regression	Новый pass indirect-selector-integer-part выбрал невыгодное преобразование для 4x4	new indirect-selector-integer-part pass; pending README 249->254
2026-06-03T23:13:41+07:00	97e7f464e2637cc3d90fbc779201562a2f72988e	committed	250	-4	optimization	Переиспользовали mask, уже находящийся на стеке	commit title and diff; pending README 254->250
2026-06-03T23:26:57+07:00	6b1030a3fda03ce975964d2b21f84d7d0a198343	committed	249	-1	optimization	Переиспользовали литералы повторяющихся counted loops	commit title and diff; pending README 250->249
2026-06-03T23:44:09+07:00	8bce10f0bcaad747f648497f7c43428f9e618002	committed	247	-2	optimization	Использовали X2 restore для membership sets	commit title and diff; pending README 249->247
2026-06-04T01:05:06+07:00	df67ed4ab8b075263d5b86cab1268f751252f239	committed	240	-7	optimization	Объединили hoisted shared-call unary candidates	commit title and diff; pending README 247->240
2026-06-04T16:01:11+07:00	965dcecb3f1d0b25bb21fc9843a56fd5a4d6d8fb	committed	386	146	semantic_rewrite	Переписали порт как полноценную MK-Pro игру; добавили scan compaction/shared updates/dynamic win display задачи	222-line source rewrite and audit; pending README 240->386
2026-06-04T16:29:55+07:00	673f69cd24beabae98ed5c0750b30ee78cf535a4	committed	313	-73	optimization	Сжали новый high-level MK-Pro port	commit title and source diff; pending README 386->313
2026-06-04T16:36:05+07:00	10e13fee7600b317e6bf6f8e0e71d341572967ff	committed	312	-1	optimization	Уточнили ввод и сократили x decode	commit title and source diff; pending README 313->312
2026-06-04T16:55:31+07:00	41e40e767556351c8afc9ddaa5d169527980f73f	committed	615	303	semantic_rewrite	Переписали представление как game-level logic с mark sets и line_count; это резко раздуло lowering	256-line source rewrite; pending README 312->615
2026-06-04T22:21:53+07:00	efafac930e05ca312c76ef059526781451d055d2	committed	317	-298	optimization	Добавили компактный честный 4x4 port, явно зафиксированный на 317 клетках	commit title 'locked at 317 cells' and source rewrite
2026-06-17T14:14:19+03:00	be209bb1cc8ec634b5b157ee206f5f080816534a	committed	302	-15	optimization	Упаковали line registers и приблизили R1/R2, R4..R7 к source shape	commit title and source diff; pending README 317->302
2026-06-17T14:39:25+03:00	4447a8702e9e1c266e0ee42b79364e6f97b1c19c	committed	247	-55	optimization	Оптимизировали 4x4 cell masks и объединили update/check flow	commit title and source diff; pending README 302->247
2026-06-17T14:55:37+03:00	c16d9eb75ce172048568c7113e3b45d828f6bd7d	committed	211	-36	optimization	Сжали line updates, сделав shared indirect update/check и score-derived deltas	commit title and source diff; pending README 247->211
2026-06-17T15:08:46+03:00	5820784884de42042ff1d8cce3563695034cbff6	committed	196	-15	optimization	Заменили occupied updates на additive после absence check; добавили zero-fallback normalization	commit title and source diff; pending README 211->196
2026-06-17T15:13:59+03:00	fd27e0467937aae0f0379b431e3499e2f5119c1d	committed	195	-1	optimization	Переиспользовали move mask для проверки и добавления	commit title and source diff; pending README 196->195
2026-06-17T15:27:40+03:00	8919bbe918babb8fd1a5d817106cf394de950063	committed	194	-1	optimization	Передали mark score через общий checker	commit title and diff; pending README 195->194
2026-06-17T15:45:49+03:00	2932136c6a76fdcfd70247b20e1869c7ad349d95	committed	189	-5	optimization	Слили проверку равенства при max update	commit title and diff; pending README 194->189
2026-06-17T16:05:16+03:00	c841cebb6cc9c285068c7fa63cc315a8493a0a6d	committed	188	-1	optimization	Исправили diagonal normalization компактной эквивалентной формой	commit title and diff; pending README 189->188
2026-06-17T17:18:39+03:00	090e887b383984d694827530624985f8ed57da20	committed	183	-5	optimization	Оптимизировали lowering физического selector для line banks	commit title and diff; pending README 188->183
2026-06-17T22:12:04+03:00	8bc6b6b2ebe512b30849776cc589ad98ddf27721	committed	168	-15	optimization	Убрали лишние temporaries из packed report	commit title and diff; pending README 183->168
2026-06-18T00:33:07+03:00	f054e65b987027ead14c80ff00ab87e4d19a591a	committed	156	-12	optimization	Оставили packed-line temporaries на стеке	commit title and diff; pending README 168->156
2026-06-18T01:48:28+03:00	310bfa3cb61ea9d0200def03fa75c3f4b00a2226	committed	155	-1	optimization	Оставили packed-score temporaries на стеке	commit title and diff; pending README 156->155
2026-06-18T01:56:42+03:00	c07b7200817284d088d1d7ecb270f0f370a432b6	committed	151	-4	optimization	Сделали source-style retry занятой клетки без лишнего состояния	commit title and source diff; pending README 155->151
2026-06-18T02:20:19+03:00	3959d8e80553d5a7c6486eb326f06fd84551796f	committed	149	-2	optimization	Переиспользовали текущий X для x-param calls	commit title and diff; pending README 151->149
2026-06-18T05:22:25+03:00	cb01f786548b05a63e2e254020e2574c5f7d6a95	committed	146	-3	optimization	Оптимизировали tail layout	commit title and diff; pending README 149->146
2026-06-18T05:37:50+03:00	98333e3d92002e210f39b2bf24062d601d03aaca	committed	145	-1	optimization	Передали знак метки через checker	commit title and diff; pending README 146->145
2026-06-18T08:06:23+03:00	fa00ad24263ae7820bf4a8de60e0772418a69158	committed	144	-1	optimization	Зафиксирован ещё один общий выигрыш lowering в pending baseline	pending README 145->144
2026-06-18T11:30:12+03:00	6cc2f1af06e05be63329b9b42e45964128fb08cc	committed	140	-4	optimization	Оптимизировали scoring семейства packed lines	commit title and diff; pending README 144->140
2026-06-18T11:48:35+03:00	46458be54160df2c2b482ae6ae06c6a46dc410a3	committed	138	-2	optimization	Стали накапливать scores packed-line family	commit title and diff; pending README 140->138
2026-06-18T12:28:52+03:00	761222b4255a1c8bed4f5caf71634180baf07291	committed	137	-1	optimization	Переиспользовали entry с нулевым accumulator	commit title and diff; pending README 138->137
2026-06-18T13:47:38+03:00	5f2d3b64c8040a105b1578e53432c944998b7fa7	committed	136	-1	optimization	Оптимизировали terminal packed report через X2 tails	commit title and diff; pending README 137->136
2026-06-18T22:42:42+03:00	f7f6cc9d6e2fa8ebea8e68fb2a33c97cf71b957d	committed	134	-2	optimization	Добавили segmented bitplane optimizer variants	commit title and diff; pending README 136->134
2026-06-28T09:09:18+03:00	90156263d9b32d5112abc867efcc39cfefde209a	committed	133	-1	optimization	Сделали line-bank selector самодекрементирующимся	commit title explicitly 134->133
2026-06-28T10:15:55+03:00	3cd216b2280f9205c1ac440e4c37242f2cae4317	committed	132	-1	optimization	Восстановили tail win report через X2	commit title explicitly 133->132
2026-06-28T16:03:08+03:00	26daed22359ca43ba1789e39b9f8516bdad0fb93	committed	130	-2	optimization	Non-greedy beam search нашёл лучший совместный план	commit title explicitly 132->130
2026-06-30T07:06:44+03:00	577aa9910e3116f3f754b383896dd1464e661ebb	committed	134	4	safety_fix	Добавили статические proof gates и запретили небезопасные optimizer rewrites; прежние 130 не были доказаны безопасными	commit title and proof-gate diff; pending README 130->134
2026-06-30T09:04:57+03:00	5395efd0905bf5a778d85cc4f6be46e71bc3d3b5	committed	130	-4	optimization	Уточнили proof gates indirect selector и вернули безопасный компактный план	commit title and proof diff; pending README 134->130
2026-06-30T18:31:01+03:00	31ed893e78f4b64cccc70f3c316c4d92a120303d	committed	132	2	safety_fix	Исправили безопасность stack-resident calls; прежний анализ ошибочно считал значение живым на стеке	stack_residency_analysis diff and tests; pending README 130->132
2026-06-30T18:37:42+03:00	12a8e405140b7167df31ed2d039a6d85138b3d62	committed	130	-2	revert	Откатили Fix stack resident call safety как неверное/слишком консервативное изменение	commit title and revert diff; pending README 132->130
2026-06-30T20:16:20+03:00	637390bff350821261dea683c212f51d82ea9f71	committed	141	11	correctness_fix	Восстановили точный UI занятой клетки: retry stop обязан показывать -99999999	6-line source change, golden listing and audit; pending README 130->141
2026-07-02T04:00:37+03:00	71ead7bb0d7aa339832a36b2e3c4dd9fd9fd52dc	committed	137	-4	optimization	Оставили no-arg packed digit inputs на стеке	commit title and diff; pending README 141->137
2026-07-02T06:14:13+03:00	97ba77f4233b65982c0f2341787b92fbda4208f0	committed	136	-1	optimization	Улучшили layout refinement fractional selector с stack temps и reverse proc layout	commit title and README notes; pending README 137->136
2026-07-02T10:26:41+03:00	94794e7d15af6afcff73e2a56fb76f7294a78fcc	committed	141	5	correctness_fix	Исправили потерянный pow10(index) scaling в packed-line family lowering; 136 было результатом семантической ошибки	commit title; later README sync adds required pow10 phrase and 136->141
2026-07-11T10:54:03+03:00	dc4a926ecb2fb0772edc2da3afff35defcf2f355	committed	139	-2	invalid_architecture_specific	Скомбинировали mutating packed-line selector, stack scheduling и fractional selector через распознавание целого packed-line family	Размер воспроизводим, но не допустим по текущему контракту: compiler.cpp выбирал packed_line_family_* architecture matcher; UI ещё не фиксировал произвольные signed/fractional координаты
2026-07-11T13:52:14+03:00	bbbc3bf8b90341272ffbdb84186aaa091a07c732	committed	128	-11	invalid_architecture_specific	Убрали распознавание имени игры, но сохранили распознавание архитектуры packed-line walkers	Commit title says without program recognition; current requirement also forbids recognition of the game architecture
2026-07-11T16:15:42+03:00	bd956cc50826811146a2c1bbe7cd919ee29c080f	committed	120	-8	invalid_architecture_specific	Расширили packed-line pipeline до 120 клеток	Later audit found whole packed-line architecture matchers; result intentionally removed by 39fe108c
2026-07-11T19:22:59+03:00	39fe108ce30348d517ad1fbbfed6743f20fc21e3	committed	181	61	safety_fix	Удалили распознавание packed-line архитектуры и закрепили полный observable UI	Honest architecture-neutral baseline; arbitrary signed/fractional input and X:Y protocol restored
2026-07-11T20:12:05+03:00	598057651da7e511a836d18b1f3961ab748c15f8	committed	166	-15	optimization	Добавили универсальный signed grid_norm и короткую domain-proved внутреннюю нормализацию	Widths 3/4/5 emulator-tested; exact two-phase input ordering preserved
2026-07-11T21:52:12+03:00	5ca68939f6a10dd052f930e39b19eeec2b9feb0c	committed	163	-3	optimization	Универсальный natural-target layout разместил helper по адресу стабильного внутреннего preload после полного CFG/return-stack proof	Full size and golden suites green; unrelated synthetic proof tests; no program or architecture recognition
2026-07-12T04:34:37+03:00	2e8f1c34621f7f9728514d1a0ad00c75c289dc16	committed	154	-9	optimization	Добавили универсальные X-entry/tail-forwarding для typed grid wrappers и позднее сравнение proof-gated финальных раскладок curated candidates	Cold full size 154; UI protocol/reference, grid-rounding, golden, example-size, helper-alias and unrelated candidate-search tests green; no program or game-architecture recognition
