program	date	commit	size_cells	delta_cells	plot_delta_cells	change_kind	validation	plot	exclusion	reason	evidence
tic-tac-toe-4x4	2026-05-29T10:36:06+03:00	c27f0591f7207e54f7a570d2e32a3b543fecee7b	242	-4	-4	optimization	historical_record	1		Восстановили более компактный lowering видео-вывода	c27f0591f7207e54f7a570d2e32a3b543fecee7b:examples/pending-optimizer/README.md | | `tic-tac-toe-4x4.mkpro` | 242 | 105 | 4x4 line-count state representation |
tic-tac-toe-4x4	2026-05-29T11:46:15+03:00	4b86d3e6f2164d3b0c66e56304a44226591edbd4	246	4	4	regression	historical_record	1		Общая оптимизация дала выигрыши другим играм, но ухудшила выбранный план 4x4 на 4 клетки	4b86d3e6f2164d3b0c66e56304a44226591edbd4:examples/pending-optimizer/README.md | | `tic-tac-toe-4x4.mkpro` | 246 | 105 | 4x4 line-count state representation |
tic-tac-toe-4x4	2026-05-29T12:29:36+03:00	2656edd89f4fb8a1c366285f73898a045b5a0564	241	-5	-5	optimization	historical_record	1		Обновили display lowering и метрики; вернули 5 клеток	2656edd89f4fb8a1c366285f73898a045b5a0564:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 241,
tic-tac-toe-4x4	2026-05-29T15:30:26+03:00	a717966edba5cecee7c92ccffa61e17d31cf7ddc	219	-22	-22	optimization	historical_record	1		Оптимизировали lowering guarded cardinal directions; общий план стал существенно короче	a717966edba5cecee7c92ccffa61e17d31cf7ddc:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 219,
tic-tac-toe-4x4	2026-05-29T17:14:23+03:00	4d1070c37da678221a454c12f62339c917e9572b	232	13	13	regression	historical_record	1		Изменили post-layout indirect-flow; часть программ выросла, значит новый выбор раскладки оказался хуже для 4x4	4d1070c37da678221a454c12f62339c917e9572b:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 232,
tic-tac-toe-4x4	2026-05-30T13:09:53+07:00	6af91f939d86159534a056b9234e9ee730a07729	282	50	50	increase	historical_record	1		При исправлении тестов оптимизатора запретили небезопасное переиспользование preload. Зафиксирован рост 232 → 282; вклад каждого изменения отдельно не измерен.	6af91f939d86159534a056b9234e9ee730a07729:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 282,
tic-tac-toe-4x4	2026-05-30T14:04:41+07:00	39d96a68bc3cf7ca68da325f15310660477085b4	260	-22	-22	optimization	historical_record	1		Fix pending optimizer register allocation	39d96a68bc3cf7ca68da325f15310660477085b4:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 260,
tic-tac-toe-4x4	2026-05-30T14:06:22+07:00	46d5f36b430cb749bff54add45ecf374590f2648	282	22	22	increase	historical_record	1		После слияния поддержки rule-функций тест снова записал 282 вместо 260. Это смена зафиксированного baseline; отдельного доказательства регресса генерации нет.	46d5f36b430cb749bff54add45ecf374590f2648:examples/README.md | | `pending-optimizer/tic-tac-toe-4x4.mkpro` | 282 | 105 | +177 | pending optimizer | not loaded: main >105 |
tic-tac-toe-4x4	2026-05-30T15:16:45+07:00	3c855636b0d6c3896432d07ea14e9ca7eb1938ef	260	-22	-22	regression	historical_record	1		Оптимизация residual dispatch была локальной для других игр и ухудшила общий compiler plan 4x4	3c855636b0d6c3896432d07ea14e9ca7eb1938ef:examples/pending-optimizer/README.md | | `tic-tac-toe-4x4.mkpro` | 260 | 105 | 4x4 line-count state representation |
tic-tac-toe-4x4	2026-05-30T23:42:49+07:00	2909fe6adf4c0a196436ebdf83fa93641ebf1f8d	264	4	4	correctness_fix	historical_record	1		Исправили целочисленный random lowering; более корректная генерация добавила 4 клетки	2909fe6adf4c0a196436ebdf83fa93641ebf1f8d:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 264,
tic-tac-toe-4x4	2026-05-31T18:24:54+07:00	6966d9be381668bb2b5cddc132de0183d9b705d9	251	-13	-13	optimization	historical_record	1		Add clock example and update size report	6966d9be381668bb2b5cddc132de0183d9b705d9:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 251,
tic-tac-toe-4x4	2026-05-31T19:37:11+07:00	8873e98851016090d48b6b0e9ef2adbdbd1e28c4	105	-146		invalid_shortcut	invalidated	0	cheat	Подменили честную игру специальным line4_random_reply kernel; формально влезло, но это был cheat	8873e98851016090d48b6b0e9ef2adbdbd1e28c4:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 105,
tic-tac-toe-4x4	2026-05-31T20:15:52+07:00	27a4c7d537b82d0296fbc41788975c5acdbde5df	251	146	0	increase	historical_record	1		В отчёт вернули 251 после отмены специального shortcut. После исключения cheat-точки размер не меняется.	27a4c7d537b82d0296fbc41788975c5acdbde5df:examples/README.md | | `pending-optimizer/tic-tac-toe-4x4.mkpro` | 251 | 105 | +146 | pending optimizer | not loaded: main >105 |
tic-tac-toe-4x4	2026-05-31T22:31:57+07:00	736a01525c17e56a7aa9d7c1ca48c293b4c514cc	219	-32	-32	optimization	historical_record	1		Add Wumpus example update and examples README	736a01525c17e56a7aa9d7c1ca48c293b4c514cc:examples/README.md | | `pending-optimizer/tic-tac-toe-4x4.mkpro` | 219 | 105 | +114 | pending optimizer | not loaded: main >105 |
tic-tac-toe-4x4	2026-05-31T23:37:05+07:00	6dbcf2225d6bd82aef765d8f834a6f34d382c8fe	213	-6	-6	optimization	historical_record	1		perf: rank preload constants by total savings, not per-use cost	6dbcf2225d6bd82aef765d8f834a6f34d382c8fe:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 213,
tic-tac-toe-4x4	2026-06-01T14:13:19+07:00	7f257d501d537b6787cbcd5a5a57f799c5af8bd0	200	-13	-13	optimization	historical_record	1		Уменьшили сам high-level source tic-tac-toe	7f257d501d537b6787cbcd5a5a57f799c5af8bd0:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 200,
tic-tac-toe-4x4	2026-06-02T12:13:20+07:00	26b17e454797342246caff32a4b0b3ad3fb0a773	281	81	81	semantic_rewrite	historical_record	1		Вернули source-shaped packed scan/update; прежние 200 клеток не моделировали исходную форму достаточно полно	26b17e454797342246caff32a4b0b3ad3fb0a773:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 281,
tic-tac-toe-4x4	2026-06-02T12:59:22+07:00	226064bff2c898a62c2c23e30b05c4eb70ac7d4a	273	-8	-8	optimization	historical_record	1		Сохранили и переиспользовали инициализаторы counted loops	226064bff2c898a62c2c23e30b05c4eb70ac7d4a:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 273,
tic-tac-toe-4x4	2026-06-02T13:55:53+07:00	336e4a25df419e6e007f79224f07daea54f00542	272	-1	-1	optimization	historical_record	1		Побочный общий выигрыш от optimizer changes для labyrinth777	336e4a25df419e6e007f79224f07daea54f00542:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 272,
tic-tac-toe-4x4	2026-06-02T15:23:03+07:00	89340f9e3e76dbd528cc86926a8a3e744d52f916	269	-3	-3	optimization	historical_record	1		Flattened games catalog и связанное упрощение lowering/source shape	89340f9e3e76dbd528cc86926a8a3e744d52f916:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 269,
tic-tac-toe-4x4	2026-06-02T20:30:59+07:00	113b60d6ed69075c8f976030f24aa1941ddee8e7	267	-2	-2	optimization	historical_record	1		Добавили shared-tail и повторное использование X в flow	113b60d6ed69075c8f976030f24aa1941ddee8e7:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 267,
tic-tac-toe-4x4	2026-06-02T22:19:32+07:00	9ad412124f888321b3b50162277a6c73ce6b8016	260	-7	-7	optimization	historical_record	1		Extend shared helper and fractional R0 optimizations	9ad412124f888321b3b50162277a6c73ce6b8016:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 260,
tic-tac-toe-4x4	2026-06-03T08:31:06+07:00	d754ddf3e81b2604ed83b9e6f00ab1c55d76e69c	258	-2	-2	optimization	historical_record	1		Model call returns in CFG passes	d754ddf3e81b2604ed83b9e6f00ab1c55d76e69c:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 258,
tic-tac-toe-4x4	2026-06-03T09:19:25+07:00	0aa0e42ce9f3e51355c083dba887352404fdab1d	251	-7	-7	optimization	historical_record	1		Generalize X-param expression lowering	0aa0e42ce9f3e51355c083dba887352404fdab1d:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 251,
tic-tac-toe-4x4	2026-06-03T09:28:43+07:00	1ab5a60a9dd8491778e2f2305a2b36cb4ca5a005	249	-2	-2	optimization	historical_record	1		Reuse current X for signed zero tests	1ab5a60a9dd8491778e2f2305a2b36cb4ca5a005:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 249,
tic-tac-toe-4x4	2026-06-03T22:14:58+07:00	9b16220089694d8d6926ad1a2476e352a409027e	254	5	5	increase	historical_record	1		После слияния обобщённой канонизации аргументов и переработки исходника baseline вырос с 249 до 254. Вклад отдельных изменений не изолирован.	9b16220089694d8d6926ad1a2476e352a409027e:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 254,
tic-tac-toe-4x4	2026-06-03T23:13:41+07:00	97e7f464e2637cc3d90fbc779201562a2f72988e	250	-4	-4	optimization	historical_record	1		Переиспользовали mask, уже находящийся на стеке	97e7f464e2637cc3d90fbc779201562a2f72988e:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 250,
tic-tac-toe-4x4	2026-06-03T23:26:57+07:00	6b1030a3fda03ce975964d2b21f84d7d0a198343	249	-1	-1	optimization	historical_record	1		Переиспользовали литералы повторяющихся counted loops	6b1030a3fda03ce975964d2b21f84d7d0a198343:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 249,
tic-tac-toe-4x4	2026-06-03T23:44:09+07:00	8bce10f0bcaad747f648497f7c43428f9e618002	247	-2	-2	optimization	historical_record	1		Использовали X2 restore для membership sets	8bce10f0bcaad747f648497f7c43428f9e618002:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 247,
tic-tac-toe-4x4	2026-06-04T01:05:06+07:00	df67ed4ab8b075263d5b86cab1268f751252f239	240	-7	-7	optimization	historical_record	1		Объединили hoisted shared-call unary candidates	df67ed4ab8b075263d5b86cab1268f751252f239:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 240,
tic-tac-toe-4x4	2026-06-04T16:01:11+07:00	965dcecb3f1d0b25bb21fc9843a56fd5a4d6d8fb	386	146	146	semantic_rewrite	historical_record	1		Переписали порт как полноценную MK-Pro игру; добавили scan compaction/shared updates/dynamic win display задачи	965dcecb3f1d0b25bb21fc9843a56fd5a4d6d8fb:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 386,
tic-tac-toe-4x4	2026-06-04T16:29:55+07:00	673f69cd24beabae98ed5c0750b30ee78cf535a4	313	-73	-73	optimization	historical_record	1		Сжали новый high-level MK-Pro port	673f69cd24beabae98ed5c0750b30ee78cf535a4:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 313,
tic-tac-toe-4x4	2026-06-04T16:36:05+07:00	10e13fee7600b317e6bf6f8e0e71d341572967ff	312	-1	-1	optimization	historical_record	1		Уточнили ввод и сократили x decode	10e13fee7600b317e6bf6f8e0e71d341572967ff:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 312,
tic-tac-toe-4x4	2026-06-04T16:55:31+07:00	41e40e767556351c8afc9ddaa5d169527980f73f	615	303		semantic_rewrite	historical_record	0	game_logic_variant	Переписали представление как game-level logic с mark sets и line_count; это резко раздуло lowering	41e40e767556351c8afc9ddaa5d169527980f73f:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 615,
tic-tac-toe-4x4	2026-06-04T18:44:09+07:00	741cc928f21e15bc01ecd4006cf083bc938541a9	666	51		increase	historical_record	0	game_logic_variant	Уточнили модель X2 и ограничения безопасных преобразований: game-level вариант вырос с 615 до 666. Точка относится к исключённому периоду game logic.	741cc928f21e15bc01ecd4006cf083bc938541a9:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 666,
tic-tac-toe-4x4	2026-06-04T22:21:53+07:00	efafac930e05ca312c76ef059526781451d055d2	317	-349	5	optimization	historical_record	1		Добавили компактный честный 4x4 port, явно зафиксированный на 317 клетках	efafac930e05ca312c76ef059526781451d055d2:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 317,
tic-tac-toe-4x4	2026-06-17T14:14:19+03:00	be209bb1cc8ec634b5b157ee206f5f080816534a	302	-15	-15	optimization	historical_record	1		Упаковали line registers и приблизили R1/R2, R4..R7 к source shape	be209bb1cc8ec634b5b157ee206f5f080816534a:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 302,
tic-tac-toe-4x4	2026-06-17T14:39:25+03:00	4447a8702e9e1c266e0ee42b79364e6f97b1c19c	247	-55	-55	optimization	historical_record	1		Оптимизировали 4x4 cell masks и объединили update/check flow	4447a8702e9e1c266e0ee42b79364e6f97b1c19c:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 247,
tic-tac-toe-4x4	2026-06-17T14:55:37+03:00	c16d9eb75ce172048568c7113e3b45d828f6bd7d	211	-36	-36	optimization	historical_record	1		Сжали line updates, сделав shared indirect update/check и score-derived deltas	c16d9eb75ce172048568c7113e3b45d828f6bd7d:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 211,
tic-tac-toe-4x4	2026-06-17T15:08:46+03:00	5820784884de42042ff1d8cce3563695034cbff6	196	-15	-15	optimization	historical_record	1		Заменили occupied updates на additive после absence check; добавили zero-fallback normalization	5820784884de42042ff1d8cce3563695034cbff6:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 196,
tic-tac-toe-4x4	2026-06-17T15:13:59+03:00	fd27e0467937aae0f0379b431e3499e2f5119c1d	195	-1	-1	optimization	historical_record	1		Переиспользовали move mask для проверки и добавления	fd27e0467937aae0f0379b431e3499e2f5119c1d:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 195,
tic-tac-toe-4x4	2026-06-17T15:27:40+03:00	8919bbe918babb8fd1a5d817106cf394de950063	194	-1	-1	optimization	historical_record	1		Передали mark score через общий checker	8919bbe918babb8fd1a5d817106cf394de950063:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 194,
tic-tac-toe-4x4	2026-06-17T15:45:49+03:00	2932136c6a76fdcfd70247b20e1869c7ad349d95	189	-5	-5	optimization	historical_record	1		Слили проверку равенства при max update	2932136c6a76fdcfd70247b20e1869c7ad349d95:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 189,
tic-tac-toe-4x4	2026-06-17T16:05:16+03:00	c841cebb6cc9c285068c7fa63cc315a8493a0a6d	188	-1	-1	optimization	historical_record	1		Исправили diagonal normalization компактной эквивалентной формой	c841cebb6cc9c285068c7fa63cc315a8493a0a6d:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 188,
tic-tac-toe-4x4	2026-06-17T17:18:39+03:00	090e887b383984d694827530624985f8ed57da20	183	-5	-5	optimization	historical_record	1		Оптимизировали lowering физического selector для line banks	090e887b383984d694827530624985f8ed57da20:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 183,
tic-tac-toe-4x4	2026-06-17T22:12:04+03:00	8bc6b6b2ebe512b30849776cc589ad98ddf27721	168	-15	-15	optimization	historical_record	1		Убрали лишние temporaries из packed report	8bc6b6b2ebe512b30849776cc589ad98ddf27721:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 168,
tic-tac-toe-4x4	2026-06-18T00:33:07+03:00	f054e65b987027ead14c80ff00ab87e4d19a591a	156	-12	-12	optimization	historical_record	1		Оставили packed-line temporaries на стеке	f054e65b987027ead14c80ff00ab87e4d19a591a:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 156,
tic-tac-toe-4x4	2026-06-18T01:48:28+03:00	310bfa3cb61ea9d0200def03fa75c3f4b00a2226	155	-1	-1	optimization	historical_record	1		Оставили packed-score temporaries на стеке	310bfa3cb61ea9d0200def03fa75c3f4b00a2226:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 155,
tic-tac-toe-4x4	2026-06-18T01:56:42+03:00	c07b7200817284d088d1d7ecb270f0f370a432b6	151	-4	-4	optimization	historical_record	1		Сделали source-style retry занятой клетки без лишнего состояния	c07b7200817284d088d1d7ecb270f0f370a432b6:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 151,
tic-tac-toe-4x4	2026-06-18T02:20:19+03:00	3959d8e80553d5a7c6486eb326f06fd84551796f	149	-2	-2	optimization	historical_record	1		Переиспользовали текущий X для x-param calls	3959d8e80553d5a7c6486eb326f06fd84551796f:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 149,
tic-tac-toe-4x4	2026-06-18T05:22:25+03:00	cb01f786548b05a63e2e254020e2574c5f7d6a95	146	-3	-3	optimization	historical_record	1		Оптимизировали tail layout	cb01f786548b05a63e2e254020e2574c5f7d6a95:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 146,
tic-tac-toe-4x4	2026-06-18T05:37:50+03:00	98333e3d92002e210f39b2bf24062d601d03aaca	145	-1	-1	optimization	historical_record	1		Передали знак метки через checker	98333e3d92002e210f39b2bf24062d601d03aaca:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 145,
tic-tac-toe-4x4	2026-06-18T08:06:23+03:00	fa00ad24263ae7820bf4a8de60e0772418a69158	144	-1	-1	optimization	historical_record	1		Зафиксирован ещё один общий выигрыш lowering в pending baseline	fa00ad24263ae7820bf4a8de60e0772418a69158:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 144,
tic-tac-toe-4x4	2026-06-18T11:30:12+03:00	6cc2f1af06e05be63329b9b42e45964128fb08cc	140	-4	-4	optimization	historical_record	1		Оптимизировали scoring семейства packed lines	6cc2f1af06e05be63329b9b42e45964128fb08cc:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 140,
tic-tac-toe-4x4	2026-06-18T11:48:35+03:00	46458be54160df2c2b482ae6ae06c6a46dc410a3	138	-2	-2	optimization	historical_record	1		Стали накапливать scores packed-line family	46458be54160df2c2b482ae6ae06c6a46dc410a3:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 138,
tic-tac-toe-4x4	2026-06-18T12:28:52+03:00	761222b4255a1c8bed4f5caf71634180baf07291	137	-1	-1	optimization	historical_record	1		Переиспользовали entry с нулевым accumulator	761222b4255a1c8bed4f5caf71634180baf07291:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 137,
tic-tac-toe-4x4	2026-06-18T13:47:38+03:00	5f2d3b64c8040a105b1578e53432c944998b7fa7	136	-1	-1	optimization	historical_record	1		Оптимизировали terminal packed report через X2 tails	5f2d3b64c8040a105b1578e53432c944998b7fa7:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 136,
tic-tac-toe-4x4	2026-06-18T22:15:08+03:00	e45e0ee98ae77094d91faf2179daf9ea3b727b7f	134	-2	-2	optimization	historical_record	1		Fix X2 optimizer regressions	e45e0ee98ae77094d91faf2179daf9ea3b727b7f:tests/compiler/example-baselines.ts |   "tic-tac-toe-4x4": 134,
tic-tac-toe-4x4	2026-06-28T09:09:18+03:00	90156263d9b32d5112abc867efcc39cfefde209a	133	-1	-1	optimization	historical_record	1		Сделали line-bank selector самодекрементирующимся	90156263d9b32d5112abc867efcc39cfefde209a:native/tests/example_sizes_test.cpp |       {"tic-tac-toe-4x4", 133},
tic-tac-toe-4x4	2026-06-28T10:15:55+03:00	3cd216b2280f9205c1ac440e4c37242f2cae4317	132	-1	-1	optimization	historical_record	1		Восстановили tail win report через X2	3cd216b2280f9205c1ac440e4c37242f2cae4317:native/tests/example_sizes_test.cpp |       {"tic-tac-toe-4x4", 132},
tic-tac-toe-4x4	2026-06-28T16:03:08+03:00	26daed22359ca43ba1789e39b9f8516bdad0fb93	130	-2	-2	optimization	historical_record	1		Non-greedy beam search нашёл лучший совместный план	26daed22359ca43ba1789e39b9f8516bdad0fb93:native/tests/example_sizes_test.cpp |       {"tic-tac-toe-4x4", 130},
tic-tac-toe-4x4	2026-06-29T07:09:08+03:00	de880f0d1971a31f7165661d00ebfaba0f7bdebc	129	-1	-1	optimization	historical_record	1		Add dead-integer fractional address synthesis (ttt-4x4 130->129)	de880f0d1971a31f7165661d00ebfaba0f7bdebc:native/tests/example_sizes_test.cpp |       {"tic-tac-toe-4x4", 129},
tic-tac-toe-4x4	2026-06-30T07:06:44+03:00	577aa9910e3116f3f754b383896dd1464e661ebb	134	5	5	safety_fix	historical_record	1		Добавили статические proof gates и запретили небезопасные optimizer rewrites; прежние 130 не были доказаны безопасными	577aa9910e3116f3f754b383896dd1464e661ebb:native/tests/example_sizes_test.cpp |       {"tic-tac-toe-4x4", 134},
tic-tac-toe-4x4	2026-06-30T09:04:57+03:00	5395efd0905bf5a778d85cc4f6be46e71bc3d3b5	130	-4	-4	optimization	historical_record	1		Уточнили proof gates indirect selector и вернули безопасный компактный план	5395efd0905bf5a778d85cc4f6be46e71bc3d3b5:native/tests/example_sizes_test.cpp |       {"tic-tac-toe-4x4", 130},
tic-tac-toe-4x4	2026-06-30T18:31:01+03:00	31ed893e78f4b64cccc70f3c316c4d92a120303d	132	2	2	safety_fix	historical_record	1		Исправили безопасность stack-resident calls; прежний анализ ошибочно считал значение живым на стеке	31ed893e78f4b64cccc70f3c316c4d92a120303d:native/tests/example_sizes_test.cpp |       {"tic-tac-toe-4x4", 132},
tic-tac-toe-4x4	2026-06-30T18:37:42+03:00	12a8e405140b7167df31ed2d039a6d85138b3d62	130	-2	-2	revert	historical_record	1		Откатили Fix stack resident call safety как неверное/слишком консервативное изменение	12a8e405140b7167df31ed2d039a6d85138b3d62:native/tests/example_sizes_test.cpp |       {"tic-tac-toe-4x4", 130},
tic-tac-toe-4x4	2026-06-30T20:16:20+03:00	637390bff350821261dea683c212f51d82ea9f71	141	11	11	correctness_fix	historical_record	1		Восстановили точный UI занятой клетки: retry stop обязан показывать -99999999	637390bff350821261dea683c212f51d82ea9f71:native/tests/example_sizes_test.cpp |       {"tic-tac-toe-4x4", 141},
tic-tac-toe-4x4	2026-07-02T04:00:37+03:00	71ead7bb0d7aa339832a36b2e3c4dd9fd9fd52dc	137	-4	-4	optimization	historical_record	1		Оставили no-arg packed digit inputs на стеке	71ead7bb0d7aa339832a36b2e3c4dd9fd9fd52dc:native/tests/example_sizes_test.cpp |       {"tic-tac-toe-4x4", 137},
tic-tac-toe-4x4	2026-07-02T06:14:13+03:00	97ba77f4233b65982c0f2341787b92fbda4208f0	136	-1	-1	optimization	historical_record	1		Улучшили layout refinement fractional selector с stack temps и reverse proc layout	97ba77f4233b65982c0f2341787b92fbda4208f0:native/tests/example_sizes_test.cpp |       {"tic-tac-toe-4x4", 136},
tic-tac-toe-4x4	2026-07-02T10:26:41+03:00	94794e7d15af6afcff73e2a56fb76f7294a78fcc	141	5	5	correctness_fix	historical_record	1		Исправили потерянный pow10(index) scaling в packed-line family lowering; 136 было результатом семантической ошибки	94794e7d15af6afcff73e2a56fb76f7294a78fcc:native/tests/example_sizes_test.cpp |       {"tic-tac-toe-4x4", 141},
tic-tac-toe-4x4	2026-07-11T10:54:03+03:00	dc4a926ecb2fb0772edc2da3afff35defcf2f355	139	-2	-2	invalid_architecture_specific	invalidated	1		Скомбинировали mutating packed-line selector, stack scheduling и fractional selector через распознавание целого packed-line family	dc4a926ecb2fb0772edc2da3afff35defcf2f355:native/tests/example_sizes_test.cpp |       {"tic-tac-toe-4x4", 139},
tic-tac-toe-4x4	2026-07-11T13:52:14+03:00	bbbc3bf8b90341272ffbdb84186aaa091a07c732	128	-11	-11	invalid_architecture_specific	invalidated	1		Убрали распознавание имени игры, но сохранили распознавание архитектуры packed-line walkers	bbbc3bf8b90341272ffbdb84186aaa091a07c732:native/tests/example_sizes_test.cpp |       {"tic-tac-toe-4x4", 128},
